,第3因子+0.4.bmp,第3因子+0.8.bmp,第3因子-0.4.bmp,第3因子-0.8.bmp,平均車.bmp
第3因子+0.4.bmp,0,1,1,0,0
第3因子+0.8.bmp,0,0,0,0,1
第3因子-0.4.bmp,0,1,0,1,0
第3因子-0.8.bmp,1,1,0,0,0
平均車.bmp,1,0,1,1,0
